Test_NO,Test_Name,H_LMT,L_LMT,Test_Value,Test_Result,Unit,Class,Compare,Code,Script,Function
5-002,Warm Reset,PASS,FAIL,unknow,unknow,NA,Warm Reset,EQS,E5002,T6_warm_reset,
6-001,FVT-BoardTemperature,55,20,unknow,unknow,degC,FVT,GELE,E6001,T7_fvt,
6-002,FVT-RelativeHumidity,60,10,unknow,unknow,%,FVT,GELE,E6002,,
6-003,FVT-3v0_fan_V,NA,NA,unknow,unknow,V,FVT,NO,E6003,,
6-004,FVT-3v3_fan_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6004,,
6-005,FVT-Fpga_temp_C,85,25,unknow,unknow,degC,FVT,GELE,E6005,,
6-006,FVT-Ambiant_temp_C,70,25,unknow,unknow,degC,FVT,GELE,E6006,,
6-007,FVT-Fan_temp_C,70,25,unknow,unknow,degC,FVT,GELE,E6007,,
6-008,FVT-3_3V_D,3.63,2.97,unknow,unknow,V,FVT,GELE,E6008,,
6-009,FVT-2_5V_D,2.75,2.25,unknow,unknow,V,FVT,GELE,E6009,,
6-010,FVT-3V,3.3,2.7,unknow,unknow,V,FVT,GELE,E6010,,
6-011,FVT-1_8V_D,1.89,1.71,unknow,unknow,V,FVT,GELE,E6011,,
6-012,FVT-Rx_demod1_5v_s_V,5.5,3.5,unknow,unknow,V,FVT,GELE,E6012,,
6-013,FVT-Rx_demod1_3_3v_d_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6013,,
6-014,FVT-Rx_demod1_3_3v_pll_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6014,,
6-015,FVT-Rx_demod1_3_3v_lo_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6015,,
6-016,FVT-Clock_gen_vdd3_sv1_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6016,,
6-017,FVT-Clock_gen_vdd3_sv2_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6017,,
6-018,FVT-Clock_gen_vdd1_8_sv3_s_V,1.98,1.62,unknow,unknow,V,FVT,GELE,E6018,,
6-019,FVT-Adc1f_temp_C,75,20,unknow,unknow,degC,FVT,GELE,E6019,,
6-020,FVT-BoardInputVoltage,15.18,12.42,unknow,unknow,V,FVT,GELE,E6020,,
6-021,FVT-Board_input_ground_V,0.1,0,unknow,unknow,V,FVT,GELE,E6021,,
6-022,FVT-BoardInputPower_W,36,20,unknow,unknow,W,FVT,GELE,E6022,,
6-023,FVT-BoardInputCurrent,3,1.4,unknow,unknow,A,FVT,GELE,E6023,,
6-024,FVT-3v3_V,3.6,3,unknow,unknow,V,FVT,GELE,E6024,,
6-025,FVT-3v3_ground_V,0.1,0,unknow,unknow,V,FVT,GELE,E6025,,
6-026,FVT-3v3_power_W,14.52,3,unknow,unknow,W,FVT,GELE,E6026,,
6-027,FVT-3v3_current_A,4,0.5,unknow,unknow,A,FVT,GELE,E6027,,
6-028,FVT-Vcclsense_V,NA,NA,unknow,unknow,V,FVT,NO,E6028,,
6-029,FVT-Sense_power_1v8_V,1.98,1.62,unknow,unknow,A,FVT,GELE,E6029,,
6-030,FVT-1_03v_s_V,1.082,0.978,unknow,unknow,V,FVT,GELE,E6030,,
6-031,FVT-0_9v_s,0.9785,0.9215,unknow,unknow,V,FVT,GELE,E6031,,
6-032,FVT-5v0_a_V,5,3.8,unknow,unknow,V,FVT,GELE,E6032,,
6-033,FVT-3_3v_rx1_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6033,,
6-034,FVT-3_3v_clocks_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6034,,
6-035,FVT-Ismon_V,NA,NA,unknow,unknow,V,FVT,NO,E6035,,
6-036,FVT-Vin_24_V,26.4,20,unknow,unknow,V,FVT,GELE,E6036,,
6-037,FVT-GateVoltage_V,22,18,unknow,unknow,V,FVT,GELE,E6037,,
6-038,FVT-Neg20V,-18,-22,unknow,unknow,V,FVT,GELE,E6038,,
6-039,FVT-Gate_pos_power_W,0.07026,0,unknow,unknow,W,FVT,GELE,E6039,,
6-040,FVT-GateCurrent_A,0.1,0,unknow,unknow,A,FVT,GELE,E6040,,
6-041,FVT-Rx_adc1_add1_1p252_s_V,1.375,1.125,unknow,unknow,V,FVT,GELE,E6041,,
6-042,FVT-Rx_adc1_add2_2p504_s_V,2.794,2.286,unknow,unknow,V,FVT,GELE,E6042,,
6-043,FVT-Rx_adc1_dvdd_s_V,1.375,1.125,unknow,unknow,V,FVT,GELE,E6043,,
6-044,FVT-Rx_adc1_avdd3_3p30_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6044,,
6-045,FVT-Rx_adc1_avdd_spi_s_V,1.98,1.62,unknow,unknow,V,FVT,GELE,E6045,,
6-046,FVT-3_3v_refclk_s_V,3.63,2.97,unknow,unknow,V,FVT,GELE,E6046,,
6-047,FVT-Adc1d_temp_C,70,30,unknow,unknow,degC,FVT,GELE,E6047,,
6-048,FVT-SourceVoltage,16.5,13.5,unknow,unknow,V,FVT,GELE,E6048,,
6-049,FVT-Source_driver_ground_V,0.1,0,unknow,unknow,V,FVT,GELE,E6049,,
6-050,FVT-Source_driver_power_W,2,0.3,unknow,unknow,W,FVT,GELE,E6050,,
6-051,FVT-SourceCurrent,0.2,0.02,unknow,unknow,A,FVT,GELE,E6051,,
6-052,FVT-5v0,5.5,4.5,unknow,unknow,V,FVT,GELE,E6052,,
6-053,FVT-5v0_ground_V,0.1,0,unknow,unknow,V,FVT,GELE,E6053,,
6-054,FVT-5v0_power_W,25,6,unknow,unknow,W,FVT,GELE,E6054,,
6-055,FVT-5v0_current_A,5,1.2,unknow,unknow,A,FVT,GELE,E6055,,
6-056,FVT-3v3_dac_s_V,0.1,0,unknow,unknow,V,FVT,GELE,E6056,,
6-057,FVT-1v2_dac_s_V,0.1,0,unknow,unknow,V,FVT,GELE,E6057,,
6-058,FVT-5_5v_s_V,6.05,4.95,unknow,unknow,V,FVT,GELE,E6058,,
6-059,FVT-3_9v_s_V,3.9,3.51,unknow,unknow,V,FVT,GELE,E6059,,
6-060,FVT-Quadrant1Temperature,-40,-70,unknow,unknow,degC,FVT,GELE,E6060,,
6-061,FVT-Quadrant2Temperature,-40,-70,unknow,unknow,degC,FVT,GELE,E6061,,
6-062,FVT-Quadrant3Temperature,-40,-70,unknow,unknow,degC,FVT,GELE,E6062,,
6-063,FVT-Quadrant4Temperature,-40,-70,unknow,unknow,degC,FVT,GELE,E6063,,
6-064,FVT-gnssTimeRfc3339,NA,NA,unknow,unknow,YYY-MM-DDTHH:MM:SSZ,FVT,NZ,E6064,,
6-065,FVT-longitude,NA,NA,unknow,unknow,Degrees,FVT,NZ,E6065,,
6-066,FVT-latitude,NA,NA,unknow,unknow,Degrees,FVT,NZ,E6066,,
6-067,FVT-gnssFix,NA,NA,unknow,unknow,NA,FVT,NZ,E6067,,
6-068,FVT-accelX,NA,NA,unknow,unknow,m/s2,FVT,NZ,E6068,,
6-069,FVT-accelY,NA,NA,unknow,unknow,m/s2,FVT,NZ,E6069,,
6-070,FVT-accelZ,NA,NA,unknow,unknow,m/s4,FVT,NZ,E6070,,
6-071,FVT-gyroX,NA,NA,unknow,unknow,m/s-s,FVT,NZ,E6071,,
6-072,FVT-gyroY,NA,NA,unknow,unknow,m/s-s,FVT,NZ,E6072,,
6-073,FVT-gyroZ,NA,NA,unknow,unknow,m/s-s,FVT,NZ,E6073,,
6-074,FVT-productId,16505,NA,unknow,unknow,NA,FVT,EQS,E6074,,
6-075,FVT-firmwareRev,NA,NA,unknow,unknow,NA,FVT,NZ,E6075,,
6-076,FVT-firmwareDayMonth,NA,NA,unknow,unknow,NA,FVT,NZ,E6076,,
6-077,FVT-firmwareYear,NA,NA,unknow,unknow,NA,FVT,NZ,E6077,,
6-078,FVT-serialNum,NA,NA,unknow,unknow,NA,FVT,NO,E6078,,
6-079,FVT-MACAddr,NA,NA,unknow,unknow,NA,FVT,NO,E6079,,
7-001,RF-J13 950 MHz Signal Strength,-22.5,-23.5,unknow,unknow,dB,RF,GELE,E7001,T8_rf,
7-002,RF-950 MHz I Channel FFT Peak Frequency,10.01,9.99,unknow,unknow,MHz,RF,GELE,E7002,,
7-003,RF-950 MHz I Channel FFT Peak Amplitude,6.7,2.9,unknow,unknow,Counts,RF,GELE,E7003,,
7-004,RF-950 MHz Q Channel FFT Peak Frequency,10.01,9.99,unknow,unknow,MHz,RF,GELE,E7004,,
7-005,RF-950 MHz Q Channel FFT Peak Amplitude,6.7,2.9,unknow,unknow,Counts,RF,GELE,E7005,,
7-006,RF-J13 1350 MHz Signal Strength,-23.5,-25.5,unknow,unknow,dB,RF,GELE,E7006,,
7-007,RF-1350 MHz I Channel FFT Peak Frequency,50.01,49.99,unknow,unknow,MHz,RF,GELE,E7007,,
7-008,RF-1350 MHz I Channel FFT Peak Amplitude,22.5,9.9,unknow,unknow,Counts,RF,GELE,E7008,,
7-009,RF-1350 MHz Q Channel FFT Peak Frequency,50.01,49.99,unknow,unknow,MHz,RF,GELE,E7009,,
7-010,RF-1350 MHz Q Channel FFT Peak Amplitude,22.5,9.9,unknow,unknow,Counts,RF,GELE,E7010,,
7-011,RF-J13 1750 MHz Signal Strength,-23.5,-25.5,unknow,unknow,dB,RF,GELE,E7011,,
7-012,RF-1750 MHz I Channel FFT Peak Frequency,30.01,29.99,unknow,unknow,MHz,RF,GELE,E7012,,
7-013,RF-1750 MHz I Channel FFT Peak Amplitude,20.5,9.7,unknow,unknow,Counts,RF,GELE,E7013,,
7-014,RF-1750 MHz Q Channel FFT Peak Frequency,30.01,29.99,unknow,unknow,MHz,RF,GELE,E7014,,
7-015,RF-1750 MHz Q Channel FFT Peak Amplitude,20.5,9.7,unknow,unknow,Counts,RF,GELE,E7015,,
7-016,RF-J13 2145 MHz Signal Strength,-23.5,-25.5,unknow,unknow,dB,RF,GELE,E7016,,
7-017,RF-2145 MHz I Channel FFT Peak Frequency,45.01,44.99,unknow,unknow,MHz,RF,GELE,E7017,,
7-018,RF-2145 MHz I Channel FFT Peak Amplitude,8.4,2.9,unknow,unknow,Counts,RF,GELE,E7018,,
7-019,RF-2145 MHz Q Channel FFT Peak Frequency,45.01,44.99,unknow,unknow,MHz,RF,GELE,E7019,,
7-020,RF-2145 MHz Q Channel FFT Peak Amplitude,8.4,2.9,unknow,unknow,Counts,RF,GELE,E7020,,
0-000,Total Result,PASS,FAIL,unknow,unknow,NA,Total,EQS,E0000,TE_result,
